ix1,iy1,iz1,E111,E112,E113,E121,E122,E123,E131,E132,E133,E211,E212,E213,E221,E222,E223,E231,E232,E233,E311,E312,E313,E321,E322,E323,E331,E332,E333,trueE,ECube2,sumE
4,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.759614,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688923,0.176641,1.21173
2,2,6,0,0,0,0,0.234486,0,0,0,0,0,0,0,0,0.831145,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19902,0.234486,1.06563
12,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.648654,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07883,0.122103,0.770757
16,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14971,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83751,0.207507,3.47829
5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50284,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51979,0.371299,1.87414
10,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00453,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70546,0.232975,2.57909
9,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0.538453,1.96446,0,0.359973,0,0,0,0,0,0,0,0,0,0,0,3.43405,0.538453,3.01549
1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1543,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92765,0.368868,1.52317
13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38537,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31968,0.289176,1.91383
15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95157,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69083,0,2.95157
11,9,1,0,0,0,0,0,0,0,0,0,0,0.150494,0,0,2.54252,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22411,0.150494,2.79629
9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12154,0,0,0,0,0.103866,0,0,0,0,0,0,0,0,0.833526,0.349901,1.69105
9,2,1,0,0,0,0,0.360494,0,0,0,0,0,0,0,0,1.83031,0,0,0.185661,0,0,0,0,0,0,0,0,0,0,2.76333,0.360494,2.89917
5,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65265,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67443,0.411761,3.06441
10,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0.134115,4.28151,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95118,0.134115,4.41562
8,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66121,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58724,0.198212,2.9818
14,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13863,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02749,0.17867,3.3173
8,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94876,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66452,0.254532,4.20329
13,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70227,0,0,0.31751,0,0,0,0,0,0,0,0,0,0,1.42046,0.31751,2.15536
16,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0.406794,0.433709,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355438,0.406794,0.840503
2,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767124,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793275,0,0.767124
4,16,7,0,0,0,0,0.408866,0,0,0,0,0,0,0,0,0.963043,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28298,0.408866,1.37191
14,5,3,0,0,0,0,0,0,0,0,0,0,0.22144,0,0,2.29347,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19986,0.22144,2.61895
1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867608,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82391,0.115784,0.983393
11,2,5,0,0,0,0,0,0,0,0,0,0,0.114999,0,0,2.57667,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32562,0.114999,2.69167
4,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17797,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74625,0,1.17797
8,6,4,0,0,0,0,0.139025,0,0,0,0,0,0,0,0,0.25683,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216011,0.139025,0.395856
2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52905,0.261399,0,0,0,0,0,0,0,0,0,0,0,0,1.5707,0.296338,2.08678
1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33725,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34661,0.238955,2.5762
4,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07792,0,0,0,0,0,0,0,0,0,0,0,0.241039,0,1.72088,0.256486,2.7379
15,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43828,0,0.393193,0,0,0,0,0,0,0,0,0,0,0,2.97118,0.393193,2.83147
10,8,3,0,0.138564,0,0,0,0,0,0,0,0,0,0,0,2.89871,0,0,0,0,0,0,0,0.339997,0,0,0,0,0,2.63411,0.339997,3.37727
3,11,3,0,0.457701,0,0,0.103409,0,0,0,0,0,0,0,0.125664,2.76649,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74625,0.457701,3.74882
2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58146,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41876,0.203979,2.78544
7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23771,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944863,0,1.23771
