ix1,iy1,iz1,E111,E112,E113,E121,E122,E123,E131,E132,E133,E211,E212,E213,E221,E222,E223,E231,E232,E233,E311,E312,E313,E321,E322,E323,E331,E332,E333,trueE
14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40236,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41476
2,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0.107461,2.12114,0,0,0,0,0,0.13307,0,0,0,0,0,0,0,3.00714
14,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37375,0,0,0,0,0,0,0,0,0.124726,0,0,0,0,3.18882
3,7,5,0,0,0,0.342619,0,0,0,0,0,0,0,0,0,0.797058,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65908
11,7,7,0,0.183674,0,0,0,0,0,0,0,0,0,0,0,0.472492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487028
10,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83236,0,0,0.166506,0,0,0,0,0,0,0,0,0,0,2.02434
5,1,3,0,0,0,0,0,0.483837,0,0,0,0,0,0,0,4.86312,0,0.232973,0,0,0,0,0,0,0,0,0,0,0,4.49234
12,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473315,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167759
14,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700494,0,0,0,0,0,0,0,0,0,0.429563,0,0,0,0.744694
11,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92829,0,0,0.248683,0,0,0,0,0,0,0,0,0,0,1.6632
3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20608,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35051
16,10,6,0,0,0,0,0.428844,0,0,0,0,0,0,0,0,1.95141,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30334
9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9664,0,0,0,0,0,0.266648,0,0,0,0,0,0,0,3.6527
11,12,1,0,0.642458,0,0,0.43801,0,0,0,0,0,1.0297,0,0,2.40358,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26598
10,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88568,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46814
13,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16281,0,0,0,0,0,0,0,0,0.374672,0,0,0,0,3.0133
4,7,9,0,0,0,0.129384,0,0,0,0,0,0,0,0,0,0.481069,0,0,0,0,0,0,0,0,0.200055,0,0,0,0,2.19427
7,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01573,0,0,0,0,0.130296,0,0,0,0,0,0,0,0,3.12921
6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.822601
7,14,8,0,0,0,0,0,0,0.213125,0,0,0,0,0,0,0.873342,0,0,0,0,0,0,0,0,0,0.416106,0,0,0,0.69845
2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00139,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44343
4,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.759614,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688923
2,2,6,0,0,0,0,0.234486,0,0,0,0,0,0,0,0,0.831145,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19902
12,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.648654,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07883
16,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14971,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83751
5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50284,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51979
10,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00453,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70546
9,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0.538453,1.96446,0,0.359973,0,0,0,0,0,0,0,0,0,0,0,3.43405
1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1543,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92765
13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38537,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31968
15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95157,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69083
11,9,1,0,0,0,0,0,0,0,0,0,0,0.150494,0,0,2.54252,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22411
9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12154,0,0,0,0,0.103866,0,0,0,0,0,0,0,0,0.833526
9,2,1,0,0,0,0,0.360494,0,0,0,0,0,0,0,0,1.83031,0,0,0.185661,0,0,0,0,0,0,0,0,0,0,2.76333
5,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65265,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67443
10,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0.134115,4.28151,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95118
8,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66121,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58724
14,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13863,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02749
8,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94876,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66452
13,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70227,0,0,0.31751,0,0,0,0,0,0,0,0,0,0,1.42046
16,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0.406794,0.433709,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355438
2,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767124,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793275
4,16,7,0,0,0,0,0.408866,0,0,0,0,0,0,0,0,0.963043,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28298
14,5,3,0,0,0,0,0,0,0,0,0,0,0.22144,0,0,2.29347,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19986
1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867608,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82391
11,2,5,0,0,0,0,0,0,0,0,0,0,0.114999,0,0,2.57667,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32562
4,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17797,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74625
8,6,4,0,0,0,0,0.139025,0,0,0,0,0,0,0,0,0.25683,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216011
2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52905,0.261399,0,0,0,0,0,0,0,0,0,0,0,0,1.5707
1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33725,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34661
